TRI_NAME,DATABASE_NAME,DATA_TYPE
REPORTING YEAR,reporting_year,int
PRIMARY NAICS CODE,naics_code,int
TRI_CHEM_ID,tri_chemical_id,str
CHEMICAL NAME,chemical_name,str
CAAC_IND,caac_ind,str
CARC_IND,carc_ind,str
PFAS_IND,pfas_ind,str
METAL_IND,metal_ind,str
FIRST SOURCE REDUCTION ACTIVITY CODE,source_reduction_code,str
FIRST SOURCE REDUCTION ACTIVITY DESCRIPTION,source_reduction_description,str
EST ANNUAL REDUCTION - FIRST SOURCE REDUCTION ACTIVITY - CODE,reduction_code,str
EST ANNUAL REDUCTION - FIRST SOURCE REDUCTION ACTIVITY - CODE DESCRIPTION,description_code,str
SECOND SOURCE REDUCTION ACTIVITY CODE,source_reduction_code,str
SECOND SOURCE REDUCTION ACTIVITY DESCRIPTION,source_reduction_description,str
EST ANNUAL REDUCTION - SECOND SOURCE REDUCTION ACTIVITY - CODE,reduction_code,str
EST ANNUAL REDUCTION - SECOND SOURCE REDUCTION ACTIVITY - CODE DESCRIPTION,description_code,str
THIRD SOURCE REDUCTION ACTIVITY CODE,source_reduction_code,str
THIRD SOURCE REDUCTION ACTIVITY DESCRIPTION,source_reduction_description,str
EST ANNUAL REDUCTION - THIRD SOURCE REDUCTION ACTIVITY - CODE,reduction_code,str
EST ANNUAL REDUCTION - THIRD SOURCE REDUCTION ACTIVITY - CODE DESCRIPTION,description_code,str
FOURTH SOURCE REDUCTION ACTIVITY CODE,source_reduction_code,str
FOURTH SOURCE REDUCTION ACTIVITY DESCRIPTION,source_reduction_description,str
EST ANNUAL REDUCTION - FOURTH SOURCE REDUCTION ACTIVITY - CODE,reduction_code,str
EST ANNUAL REDUCTION - FOURTH SOURCE REDUCTION ACTIVITY - CODE DESCRIPTION,description_code,str
